trait_coding_logic,trait_visual_creativity,trait_math_analytical,trait_leadership_strategy,trait_physical_mechanical,trait_empathy_caregiving,trait_writing_argument,trait_teaching_mentoring,trait_scientific_inquiry,trait_risk_operations,career_category
5.3,3.86,5.31,2.63,7.8,1.18,3.63,2.08,3.71,3.62,Engineer
4.22,2.96,7.46,2.22,6.61,0.39,1.55,0.99,4.66,4.19,Engineer
2.47,1.24,5.45,3.45,1.76,1.5,4.52,3.62,8.32,2.8,Researcher
1.97,2.37,4.07,6.1,0.47,1.71,3.25,4.89,3.07,7.71,Manager
2.77,3.17,6.58,2.7,9.07,0.98,1.77,1.64,2.1,3.6,Engineer
2.74,2.95,4.32,7.22,0.71,2.31,3.88,5.3,2.75,7.03,Manager
0.6,3.92,1.43,3.23,8.09,2.77,2.85,4.03,1.85,1.72,Sports Professional
4.78,2.49,6.73,2.43,0.86,1.0,5.07,1.31,4.4,4.15,Analyst
1.57,2.65,1.64,4.11,10.0,4.19,1.96,5.11,1.16,1.96,Sports Professional
6.69,0.8,7.42,4.25,1.99,1.04,3.19,2.0,2.83,4.43,Analyst
0.89,7.38,2.41,3.89,1.38,2.03,2.4,3.75,0.43,1.59,Designer
0.77,2.75,1.34,3.59,2.44,7.39,2.18,4.42,6.82,0.93,Healthcare Professional
1.92,4.0,3.45,4.3,1.95,5.73,4.36,8.44,3.08,3.21,Educator
3.47,1.75,2.87,2.04,1.16,1.59,5.32,3.12,8.15,2.75,Researcher
2.13,0.46,3.68,3.0,1.48,6.9,1.47,3.34,5.86,3.04,Healthcare Professional
3.27,3.73,7.87,2.4,7.01,0.0,1.72,2.07,5.33,1.83,Engineer
8.14,1.99,6.07,2.38,1.56,0.0,1.35,1.28,2.93,2.56,Developer
5.63,2.09,6.77,2.45,0.28,2.9,3.71,2.47,4.61,2.68,Analyst
2.46,7.92,3.13,2.37,1.29,0.7,3.22,0.31,2.58,0.51,Designer
3.27,7.72,1.48,2.78,1.96,1.33,3.75,1.81,2.03,1.52,Designer
7.0,1.27,5.42,3.82,0.28,2.48,3.51,1.0,3.51,3.47,Developer
4.83,0.82,5.01,2.75,1.2,4.07,5.14,3.23,7.03,3.14,Researcher
1.81,9.03,2.14,2.64,2.43,1.85,1.63,0.78,2.13,1.35,Designer
0.71,3.69,2.66,3.4,0.46,4.86,6.13,7.84,2.64,2.31,Educator
1.94,1.6,3.11,4.15,2.1,7.34,3.03,2.1,7.19,3.71,Healthcare Professional
3.12,3.97,6.63,2.35,1.23,1.24,2.74,2.38,4.87,5.19,Analyst
5.97,2.4,6.75,1.32,0.65,2.18,4.64,2.38,4.55,4.28,Analyst
1.76,3.6,2.68,3.17,2.27,6.27,4.95,7.53,4.02,3.52,Educator
7.48,2.4,6.6,0.53,0.31,1.93,1.46,2.31,4.53,1.64,Developer
1.17,7.9,1.87,1.85,1.53,1.57,2.11,3.15,0.95,0.85,Designer
2.97,3.86,4.72,1.57,0.99,2.08,6.05,3.46,8.89,3.42,Researcher
1.61,1.5,1.83,7.72,1.48,0.58,2.89,4.73,2.31,5.61,Manager
3.32,1.12,6.01,2.27,7.96,1.07,1.51,2.83,1.5,2.94,Engineer
0.23,2.06,1.12,6.27,8.09,1.79,1.61,5.75,1.12,2.17,Sports Professional
2.42,1.27,3.08,5.34,0.0,2.02,7.67,3.76,4.18,4.35,Lawyer
2.98,1.14,2.49,4.76,8.48,2.74,1.47,4.7,1.59,0.4,Sports Professional
2.92,1.28,2.73,4.74,1.38,1.44,8.4,4.02,3.83,5.86,Lawyer
2.03,2.44,2.63,2.89,3.27,6.98,3.04,3.5,7.6,2.56,Healthcare Professional
1.6,0.0,2.49,4.78,8.45,1.26,2.26,4.01,3.44,2.83,Sports Professional
2.04,8.65,1.67,4.15,1.66,1.25,1.75,2.99,2.78,1.05,Designer
6.18,1.55,6.85,3.21,1.64,2.2,4.7,2.01,3.88,3.62,Analyst
3.55,8.11,2.68,2.09,0.9,0.0,2.68,1.3,1.28,1.05,Designer
7.96,3.24,5.79,1.02,1.76,0.0,1.19,0.63,3.97,2.85,Developer
1.46,2.78,1.31,5.7,8.52,4.29,0.41,4.78,2.55,0.95,Sports Professional
4.33,3.25,5.74,2.32,8.15,0.82,0.26,2.44,2.77,2.65,Engineer
0.63,1.28,1.69,7.15,0.0,0.91,8.39,2.39,4.05,5.06,Lawyer
7.78,3.23,6.27,0.98,0.85,1.25,1.78,2.95,3.44,2.66,Developer
3.81,0.38,7.71,2.27,0.0,0.0,2.99,2.88,4.03,4.55,Analyst
1.9,8.13,1.31,2.19,2.88,0.8,3.55,3.35,1.27,0.19,Designer
3.95,2.32,4.28,0.93,0.77,2.62,5.43,4.75,7.67,2.2,Researcher
0.0,0.76,4.85,2.46,3.14,7.45,2.25,4.46,6.09,2.84,Healthcare Professional
1.7,0.92,2.53,5.86,0.35,2.14,8.32,2.6,6.85,5.68,Lawyer
1.76,0.64,2.03,6.27,2.31,2.01,9.99,2.95,4.71,5.21,Lawyer
2.29,4.58,1.71,3.79,0.88,6.2,3.95,8.25,3.6,1.4,Educator
7.29,2.54,4.69,2.56,1.6,2.75,1.21,1.16,3.21,2.58,Developer
0.84,0.8,2.5,6.15,1.84,0.12,8.83,3.0,4.13,6.54,Lawyer
7.78,3.83,6.27,1.36,0.98,0.1,1.98,1.24,3.29,1.26,Developer
3.91,0.99,4.52,1.89,2.17,2.12,6.01,4.55,7.54,5.9,Researcher
2.2,8.87,1.35,2.72,2.09,1.76,3.68,1.52,1.83,1.59,Designer
5.45,1.53,7.46,2.96,1.49,2.3,3.19,1.62,3.19,4.52,Analyst
2.36,3.2,2.85,2.8,1.93,6.49,2.24,5.54,5.85,1.56,Healthcare Professional
1.71,6.4,1.15,2.43,3.04,1.41,2.8,2.86,1.27,1.83,Designer
1.32,2.58,2.99,3.91,2.46,9.02,3.95,4.52,6.09,2.59,Healthcare Professional
3.69,1.32,6.12,0.91,0.64,2.65,3.24,4.89,8.01,4.39,Researcher
1.81,1.89,2.86,3.62,3.78,4.98,4.18,7.71,1.78,3.15,Educator
1.49,2.69,3.11,7.68,0.28,3.09,3.25,4.21,1.72,6.18,Manager
4.28,2.72,6.71,2.66,3.04,2.56,6.76,4.78,7.87,2.38,Researcher
9.27,2.53,4.87,1.69,0.9,0.8,2.55,2.18,2.52,1.48,Developer
2.76,2.28,7.57,3.21,8.47,2.28,5.24,2.04,4.78,3.91,Engineer
1.14,1.36,1.99,1.7,0.4,7.28,0.62,4.97,6.38,2.27,Healthcare Professional
3.67,3.36,6.09,3.61,1.04,1.06,3.15,2.66,4.73,4.78,Analyst
0.49,1.39,2.62,6.12,0.36,2.31,8.01,3.57,4.75,4.84,Lawyer
1.57,2.36,3.48,6.06,1.03,2.06,4.22,3.97,0.92,7.06,Manager
6.5,2.31,5.22,2.2,2.18,2.26,1.49,1.31,1.48,1.27,Developer
